Observer,Date,Time,Pig,PigID,Trauma,Group,Sex,With/To,Behavior,Location,Notes,Start,Stop
AJ,9/23/22,10:30:38 AM,Loretta,13,Y,B,F,George,Rest.proxim,,,1,0
AJ,9/23/22,10:35:30 AM,Loretta,13,Y,B,F,George,Rest.proxim,,,0,1
AJ,9/23/22,10:36:11 AM,George,7,Y,B,M,Loretta,Rest.proxim,,,1,0
AJ,9/23/22,10:41:44 AM,George,7,Y,B,M,Loretta,Rest.proxim,,,0,1
AJ,9/23/22,10:43:41 AM,Hank,9,Y,B,M,Willie,Rest.proxim,,,1,0
AJ,9/23/22,10:44:21 AM,Hank,9,Y,B,M,No Value,Yawn.not.contaig,,,0,0
AJ,9/23/22,10:44:33 AM,Hank,9,Y,B,M,No Value,Travel,,,0,0
AJ,9/23/22,10:45:15 AM,Hank,9,Y,B,M,No Value,Pee,,,0,0
AJ,9/23/22,10:46:23 AM,Hank,9,Y,B,M,Willie,Snout.touch,,,0,0
AJ,9/23/22,10:46:36 AM,Hank,9,Y,B,M,Dahlia,Attempt.disp,,grunting with dahlia. she moved out of his way,0,0
AJ,9/23/22,10:49:02 AM,Hank,9,Y,B,M,No Value,Drink,,,0,1
AJ,9/23/22,10:49:19 AM,Pixie,15,N,B,F,No Value,Nudge.ground ,,,1,0
AJ,9/23/22,10:53:30 AM,Pixie,15,N,B,F,Molly,Nudge.ground ,,,0,1
AJ,9/23/22,10:53:43 AM,Raymond,16,N,B,M,No Value,Other,,scratching on a tree,1,0
AJ,9/23/22,10:54:10 AM,Raymond,16,N,B,M,No Value,Nudge.ground ,,,0,0
AJ,9/23/22,10:55:17 AM,Raymond,16,N,B,M,No Value,Wag.tail,,,0,0
AJ,9/23/22,10:55:57 AM,Raymond,16,N,B,M,No Value,Travel,,,0,0
AJ,9/23/22,10:56:40 AM,Raymond,16,N,B,M,No Value,Nudge.ground ,,eating some grass,0,0
AJ,9/23/22,10:58:00 AM,Raymond,16,N,B,M,No Value,Grunt,,,0,0
AJ,9/23/22,10:59:40 AM,Dahlia,4,N,B,F,No Value,Nudge.ground ,,,1,0
AJ,9/23/22,11:00:28 AM,Dahlia,4,N,B,F,No Value,Other,,nudging the dinner table with snout,0,0
AJ,9/23/22,11:01:08 AM,Dahlia,4,N,B,F,No Value,Nudge.ground ,,,0,0
AJ,9/23/22,11:05:25 AM,Dahlia,4,N,B,F,No Value,Nudge.ground ,,,0,1
AJ,9/23/22,11:06:31 AM,Willie,20,Y,B,M,Raymond,Rest.proxim,,,1,0
AJ,9/23/22,11:11:51 AM,Willie,20,Y,B,M,Raymond,Rest,,,0,1
AJ,9/23/22,11:12:02 AM,Kitty,12,Y,B,F,No Value,Rest,,,1,0
AJ,9/23/22,11:17:18 AM,Kitty,12,Y,B,F,No Value,Rest,,,0,1
AJ,9/23/22,11:19:34 AM,Molly,14,N,B,F,No Value,Other,,rolling in water/mud puddle,1,0
AJ,9/23/22,11:20:49 AM,Molly,14,N,B,F,No Value,Rest,,in a puddle,0,0
AJ,9/23/22,11:22:26 AM,Molly,14,N,B,F,No Value,Grunt,,,0,0
AJ,9/23/22,11:22:45 AM,Molly,14,N,B,F,Pixie,Gets.disp,,stood up and left when pixie came in to puddle,0,0
AJ,9/23/22,11:23:36 AM,Molly,14,N,B,F,No Value,Travel,,,0,0
AJ,9/23/22,11:24:53 AM,Molly,14,N,B,F,No Value,Other,,scratching belly on dinner table,0,0
AJ,9/23/22,11:25:16 AM,Molly,14,N,B,F,Pixie,Grunt,,,0,1
AJ,9/30/22,10:51:39 AM,Kitty,12,Y,B,F,Dahlia,Gets.disp,,,1,0
AJ,9/30/22,10:52:55 AM,Kitty,12,Y,B,F,Dahlia,Attempt.disp,,,0,0
AJ,9/30/22,10:53:07 AM,Kitty,12,Y,B,F,No Value,Nudge.ground ,,,0,0
AJ,9/30/22,10:53:24 AM,Kitty,12,Y,B,F,No Value,Wag.tail,,,0,0
AJ,9/30/22,10:53:42 AM,Kitty,12,Y,B,F,Dahlia,Nudge.ground ,,,0,0
AJ,9/30/22,10:54:08 AM,Kitty,12,Y,B,F,Willie,Gets.disp,,,0,0
AJ,9/30/22,10:54:45 AM,Kitty,12,Y,B,F,No Value,Travel,,,0,0
AJ,9/30/22,10:55:43 AM,Kitty,12,Y,B,F,No Value,Nudge.ground ,,,0,0
AJ,9/30/22,10:56:27 AM,Kitty,12,Y,B,F,No Value,Nudge.ground ,,,0,1
AJ,9/30/22,10:56:37 AM,Dahlia,4,N,B,F,No Value,Travel,,,1,0
AJ,9/30/22,10:56:58 AM,Dahlia,4,N,B,F,No Value,Nudge.ground ,,,0,0
AJ,9/30/22,10:58:00 AM,Dahlia,4,N,B,F,Pixie,Attempt.disp,,,0,0
AJ,9/30/22,10:58:33 AM,Dahlia,4,N,B,F,No Value,Nudge.ground ,,,0,0
AJ,9/30/22,11:01:44 AM,Dahlia,4,N,B,F,No Value,Nudge.ground ,,,0,1
AJ,9/30/22,11:01:57 AM,Pixie,15,N,B,F,Dahlia,Grunt,,,1,0
AJ,9/30/22,11:02:24 AM,Pixie,15,N,B,F,No Value,Drink,,,0,0
AJ,9/30/22,11:03:04 AM,Pixie,15,N,B,F,Willie,Nudge.ground ,,,0,0
AJ,9/30/22,11:03:42 AM,Pixie,15,N,B,F,No Value,Travel,,,0,0
AJ,9/30/22,11:03:52 AM,Pixie,15,N,B,F,Kitty,Nudge.ground ,,,0,0
AJ,9/30/22,11:05:53 AM,Pixie,15,N,B,F,Willie,Gets.disp,,,0,0
AJ,9/30/22,11:07:02 AM,Pixie,15,N,B,F,No Value,Nudge.ground ,,,0,1
AJ,9/30/22,11:07:15 AM,Loretta,13,Y,B,F,No Value,Nudge.ground ,,,1,0
AJ,9/30/22,11:12:11 AM,Loretta,13,Y,B,F,No Value,,,lifting dinner table with snout,0,1
AJ,9/30/22,11:13:13 AM,Raymond,16,N,B,M,No Value,Rest,,near mud puddle,1,0
AJ,9/30/22,11:17:49 AM,Raymond,16,N,B,M,No Value,Nudge.ground ,,got up,0,0
AJ,9/30/22,11:18:13 AM,Raymond,16,N,B,M,No Value,Wag.tail,,,0,0
AJ,9/30/22,11:18:22 AM,Raymond,16,N,B,M,No Value,Travel,,,0,0
AJ,9/30/22,11:18:34 AM,Raymond,16,N,B,M,No Value,Drink,,,0,1
AJ,9/30/22,11:19:37 AM,Molly,14,N,B,F,George,Rest.proxim,,,1,0
AJ,9/30/22,11:24:40 AM,Molly,14,N,B,F,George,Rest.proxim,,,0,1
AJ,9/30/22,11:25:00 AM,George,7,Y,B,M,Molly,Rest.proxim,,,1,0
AJ,9/30/22,11:25:14 AM,George,7,Y,B,M,No Value,Grunt,,,0,0
AJ,9/30/22,11:30:07 AM,George,7,Y,B,M,Molly,Rest.proxim,,,0,1
AJ,9/30/22,11:32:46 AM,Willie,20,Y,B,M,Hank,Rest.proxim,,,1,0
AJ,9/30/22,11:37:59 AM,Willie,20,Y,B,M,Hank,Rest.proxim,,,0,1
AJ,9/30/22,11:38:09 AM,Hank,9,Y,B,M,Willie,Rest.proxim,,,1,0
AJ,9/30/22,11:43:26 AM,Hank,9,Y,B,M,Willie,Rest.proxim,,,0,1
