Date,Time,PigName,With/To,Behavior,Behavior.cat,Location,Notes,GPS,Start,Stop,Observer
9/23/22,9:00:42 AM,Thomas,No Value,Grunt,Grunt,,,,1,0,AJ
9/23/22,9:01:05 AM,Thomas,No Value,Travel,Activity,,,,0,0,AJ
9/23/22,9:01:31 AM,Thomas,No Value,Poop,Poop,,,,0,0,AJ
9/23/22,9:01:57 AM,Thomas,No Value,Pee,Pee,,,,0,0,AJ
9/23/22,9:02:41 AM,Thomas,No Value,Wag.tail,Wag.tail,,,,0,0,AJ
9/23/22,9:03:37 AM,Thomas,No Value,Travel,Activity,,,,0,0,AJ
9/23/22,9:04:37 AM,Thomas,Georgie,Snout.touch,Pro.social,,,,0,0,AJ
9/23/22,9:05:40 AM,Thomas,No Value,Rest,Rest,,,,0,0,AJ
9/23/22,9:06:58 AM,Georgie,No Value,Nudge.ground,Activity,,,,1,0,AJ
9/23/22,9:07:12 AM,Georgie,No Value,Travel,Activity,,,,0,0,AJ
9/23/22,9:07:15,Imogen,No Value,Wag.tail,Wag.tail,"30.015058,-97.307120",,,1,0,NS
9/23/22,9:07:23 AM,Georgie,No Value,Drink,Drink,,,,0,0,AJ
9/23/22,9:07:33,Imogen,No Value,Nudge.ground,Activity,"30.015058,-97.307120",,,0,0,NS
9/23/22,9:07:45,Imogen,No Value,Rest,Rest,"30.014723,-97.307470",Laying in straw pile,,0,0,NS
9/23/22,9:07:52 AM,Georgie,No Value,Travel,Activity,,,,0,0,AJ
9/23/22,9:08:42 AM,Georgie,Dora,Rest.proxim,Pro.social,,,,0,0,AJ
9/23/22,9:12:09 AM,Georgie,Atlas,Rest.proxim,Pro.social,,,,0,0,AJ
9/23/22,9:12:18,Imogen,No Value,Rest,Rest,"30.018278,-97.307556",,,0,1,NS
9/23/22,9:12:22 AM,Georgie,Bates,Rest.proxim,Pro.social,,,,0,1,AJ
9/23/22,9:12:41,Horatio,No Value,Nudge.ground,Activity,"30.015058,-97.307120",,,1,0,NS
9/23/22,9:14:06,Horatio,No Value,Wag.tail,Wag.tail,"30.016559,-97.307477",,,0,0,NS
9/23/22,9:14:22 AM,Rebel,No Value,Nudge.ground,Activity,,,,1,0,AJ
9/23/22,9:14:30,Horatio,No Value,Travel,Activity,"30.014770,-97.307433",,,0,0,NS
9/23/22,9:14:33 AM,Rebel,Eleanor,Nudge.ground,Activity,,,,0,0,AJ
9/23/22,9:14:45,Horatio,No Value,Travel,Activity,"30.014749,-97.307497",Going off path in woods,,0,0,NS
9/23/22,9:15:10,Horatio,Unknown,Sniff.consp,Pro.social,"30.014716,-97.307459",,,0,0,NS
9/23/22,9:15:29,Horatio,No Value,Nudge.ground,Activity,"30.014707,-97.307488",,,0,0,NS
9/23/22,9:15:38,Horatio,No Value,Wag.tail,Wag.tail,"30.014759,-97.307524",,,0,0,NS
9/23/22,9:16:26,Horatio,Other,Wag.tail,Wag.tail,"30.014761,-97.307535",Wagging tail and standing still. Next to Mercutio and Falstaff,,0,0,NS
9/23/22,9:17:22,Horatio,Other,Rest,Rest,"30.015058,-97.307120",Lay next to Mercutio and Falstaff,,0,0,NS
9/23/22,9:19:52,Eleanor,Other,Nudge.ground,Activity,"30.018012,-97.307555",Eat dirt with Jordan,,1,0,NS
