PigName,Activity,Anxious,G.agg,Grooming,Pro.social,R.agg,Rest
Atlas,36,0,5,0,3,2,2
Bates,39,0,0,0,4,3,4
Bianca,23,0,0,0,6,0,7
Dahlia,24,0,2,0,9,0,4
Dora,30,0,1,0,10,3,1
Eleanor,23,0,5,0,5,0,7
George,6,0,0,0,16,0,5
Georgie,14,3,0,0,15,0,6
Hank,10,1,1,0,16,0,7
Horatio,22,1,0,0,8,0,7
Imogen,16,0,1,0,9,1,15
Kitty,26,0,4,0,3,3,8
Loretta,13,0,0,0,4,2,12
Molly,13,1,0,2,12,1,8
Pixie,39,2,0,0,5,5,4
Raymond,13,0,0,1,10,0,6
Rebel,13,3,0,1,8,0,9
Thomas,15,0,3,1,1,1,15
Wilbur,22,2,2,0,3,0,12
Willie,14,0,1,1,15,1,5
