PigID,Time.Known.D,Time.Known.T,Time.Known.Avg,D1.D,D1.T,D1.Avg,D2.D,D2.T,D2.Avg,D3.D,D3.T,D3.Avg,D4.D,D4.T,D4.Avg,D5.D,D5.T,D5.Avg,D6.D,D6.T,D6.Avg,D7.D,D7.T,D7.Avg,D8.D,D8.T,D8.Avg,D9.D,D9.T,D9.Avg,D10.D,D10.T,D10.Avg,D11.D,D11.T,D11.Avg,D12.D,D12.T,D12.Avg,D13.D,D13.T,D13.Avg,D14.T,D14.D,D14.Avg,D15.D,D15.T,D15.Avg,D16.D,D16.T,D16.Avg,D17.D,D17.T,D17.Avg,D18.D,D18.T,D18.Avg,D19.D,D19.T,D19.Avg,D20.D,D20.T,D20.Avg,D21.D,D21.T,D21.Avg,D22.D,D22.T,D22.Avg,D23.D,D23.T,D23.Avg,D24.D,D24.T,D24.Avg,D25.D,D25.T,D25.Avg,D26.D,D26.T,D26.Avg,D27.D,D27.T,D27.Avg,D28.D,D28.T,D28.Avg,D29.D,D29.T,D29.Avg,D30.D,D30.T,D30.Avg,D31.D,D31.T,D32.Avg,D32.D,D32.T,D32.Avg,D33.D,D33.T,D33.Avg,D34.D,D34.T,D34.Avg,D35.D,D35.T,D35.Avg,SC1.D,SC1.T,SC1.Avg,SC2.D,SC2.T,SC2.Avg,SC3.D,SC3.T,SC3.Avg,SC4.D,SC4.T,SC4.Avg,SC5.D,SC5.T,SC5.Avg,SC6.D,SC6.T,SC6.Avg,SC7.D,SC7.T,SC7.Avg,SC8.D,SC8.T,SC8.Avg,SC9.D,SC9.T,SC9.Avg,SC10.D,SC10.T,SC10.Avg,SC11.D,SC11.T,SC11.Avg,SC12.D,SC12.T,SC12.Avg,F1.D,F1.T,F1.Avg,F2.D,F2.T,F2.Avg,F3.D,F3.T,F3.Avg,F4.D,F4.T,F4.Avg
1,72,72,72,7,7,7,1,5,3,1,2,1.5,5,2,3.5,1,1,1,1,1,1,7,5,6,7,7,7,4,6,5,1,1,1,7,6,6.5,6,6,6,1,2,1.5,1,4,2.5,7,7,7,2,5,3.5,6,6,6,1,2,1.5,7,6,6.5,4,5,4.5,2,1,1.5,5,2,3.5,1,1,1,5,5,5,1,2,1.5,1,3,2,5,6,5.5,2,4,3,5,5,5,6,6,6,1,4,2.5,7,3,5,1,2,1.5,2,2,2,5,6,5.5,3,3,3,3,5,4,3,5,4,5,8,6.5,3,6,4.5,8,8,8,14,14,14,2,7,4.5,14,17,15.5,15,18,16.5,10,10,10,12,15,13.5,14,21,17.5,11,14,12.5,45,56,50.5,22,25,23.5
2,72,60,66,7,5,6,1,2,1.5,1,1,1,1,2,1.5,6,2,4,1,1,1,4,4,4,5,6,5.5,1,5,3,2,1,1.5,2,2,2,1,5,3,4,3,3.5,4,4,4,5,5,5,1,3,2,6,5,5.5,5,2,3.5,6,5,5.5,6,6,6,1,3,2,3,5,4,5,2,3.5,5,5,5,4,4,4,5,2,3.5,5,6,5.5,5,4,4.5,1,3,2,5,5,5,5,2,3.5,7,6,6.5,2,2,2,6,6,6,1,5,3,12,7,9.5,6,6,6,9,5,7,15,13,14,9,6,7.5,6,10,8,13,9,11,8,8,8,15,13,14,16,13,14.5,11,9,10,5,13,9,42,31,36.5,15,16,15.5,52,43,47.5,16,22,19
3,72,48,60,1,1,1,1,1,1,4,2,3,1,2,1.5,7,7,7,1,1,1,4,4,4,1,3,2,1,2,1.5,6,1,3.5,3,2,2.5,5,3,4,7,6,6.5,5,4,4.5,1,1,1,3,2,2.5,1,1,1,5,6,5.5,2,5,3.5,5,2,3.5,1,5,3,6,5,5.5,7,6,6.5,1,6,3.5,1,1,1,6,2,4,2,6,4,7,7,7,1,2,1.5,4,3,3.5,1,1,1,2,6,4,6,3,4.5,7,7,7,1,2,1.5,21,20,20.5,17,10,13.5,17,10,13.5,21,20,20.5,9,9,9,3,8,5.5,17,7,12,5,8,6.5,15,11,13,7,7,7,12,9,10.5,9,6,7.5,76,60,68,12,17,14.5,44,33,38.5,21,15,18
4,55,57,56,7,6,6.5,1,2,1.5,1,2,1.5,1,2,1.5,1,1,1,1,1,1,4,4,4,7,6,6.5,2,5,3.5,5,1,3,7,5,6,6,3,4.5,1,2,1.5,5,3,4,6,4,5,6,2,4,5,2,3.5,5,5,5,6,6,6,6,6,6,1,3,2,2,3,2.5,1,1,1,5,5,5,1,1,1,7,5,6,6,7,6.5,1,5,3,3,2,2.5,5,3,4,1,2,1.5,7,6,6.5,2,5,3.5,1,5,3,5,3,4,3,5,4,4,6,5,12,11,11.5,3,12,7.5,4,7,5.5,5,6,5.5,20,10,15,9,7,8,20,17,18.5,16,10,13,5,15,10,10,11,10.5,22,34,28,9,13,11,65,44,54.5,15,26,20.5
5,72,69,70.5,2,6,4,2,3,2.5,1,5,3,4,2,3,1,1,1,1,1,1,7,5,6,7,6,6.5,6,3,4.5,4,1,2.5,1,7,4,7,6,6.5,1,2,1.5,1,5,3,7,6,6.5,4,5,4.5,6,6,6,1,4,2.5,7,6,6.5,7,7,7,4,2,3,1,3,2,1,1,1,1,5,3,1,1,1,7,6,6.5,6,5,5.5,1,2,1.5,1,6,3.5,6,6,6,1,2,1.5,2,3,2.5,1,5,3,6,1,3.5,6,3,4.5,8,4,6,3,9,6,6,10,8,8,5,6.5,3,5,4,6,9,7.5,20,17,18.5,2,8,5,12,19,15.5,19,17,18,8,9,8.5,19,9,14,25,28,26.5,9,14,11.5,53,61,57,27,18,22.5
6,92,72,82,6,7,6.5,3,6,4.5,1,3,2,6,3,4.5,4,2,3,1,1,1,4,5,4.5,5,7,6,5,6,5.5,6,1,3.5,3,2,2.5,1,3,2,6,3,4.5,4,4,4,6,6,6,1,3,2,5,5,5,5,2,3.5,6,6,6,5,6,5.5,1,2,1.5,7,2,4.5,4,1,2.5,2,3,2.5,1,2,1.5,2,3,2.5,2,6,4,4,2,3,2,5,3.5,3,5,4,1,2,1.5,7,6,6.5,4,2,3,2,2,2,5,6,5.5,10,4,7,6,6,6,15,5,10,12,7,9.5,4,5,4.5,4,9,6.5,10,8,9,8,7,7.5,10,12,11,9,16,12.5,16,13,14.5,16,17,16.5,43,22,32.5,8,14,11,37,43,40,32,30,31
7,60,55,57.5,7,7,7,4,2,3,1,2,1.5,4,3,3.5,2,2,2,1,1,1,4,4,4,7,7,7,7,7,7,4,2,3,6,2,4,4,3,3.5,4,3,3.5,4,5,4.5,6,5,5.5,1,4,2.5,3,2,2.5,1,1,1,7,6,6.5,5,7,6,5,2,3.5,6,3,4.5,1,2,1.5,3,6,4.5,5,2,3.5,4,3,3.5,4,6,5,6,3,4.5,4,5,4.5,4,5,4.5,5,2,3.5,7,7,7,1,1,1,4,4,4,7,5,6,4,5,4.5,3,5,4,6,4,5,14,10,12,8,6,7,14,9,11.5,15,13,14,8,9,8.5,15,10,12.5,9,12,10.5,15,8,11.5,19,14,16.5,27,24,25.5,22,15,18.5,47,44,45.5,34,22,28
8,60,60,60,7,7,7,1,1,1,4,2,3,3,2,2.5,2,2,2,1,1,1,4,4,4,6,6,6,3,6,4.5,1,1,1,6,6,6,5,6,5.5,2,2,2,4,4,4,6,6,6,1,4,2.5,3,6,4.5,2,2,2,3,7,5,5,3,4,1,1,1,5,2,3.5,1,2,1.5,6,6,6,1,1,1,1,5,3,5,7,6,1,2,1.5,2,5,3.5,7,7,7,4,2,3,5,6,5.5,1,2,1.5,5,2,3.5,5,5,5,4,5,4.5,11,5,8,4,5,4.5,8,6,7,7,5,6,4,7,5.5,9,13,11,8,8,8,16,18,17,13,19,16,11,12,11.5,10,13,11.5,27,21,24,11,12,11.5,46,58,52,21,25,23
9,54,60,57,6,6,6,1,5,3,5,3,4,5,5,5,3,2,2.5,1,1,1,5,4,4.5,6,6,6,2,6,4,5,2,3.5,3,2,2.5,7,6,6.5,3,3,3,5,5,5,7,6,6.5,6,5,5.5,7,5,6,4,2,3,2,5,3.5,5,2,3.5,1,5,3,5,5,5,1,5,3,4,5,4.5,1,3,2,4,2,3,6,6,6,7,7,7,5,6,5.5,7,6,6.5,1,5,3,6,5,5.5,5,1,3,4,5,4.5,3,6,4.5,6,9,7.5,13,8,10.5,14,5,9.5,14,15,14.5,3,8,5.5,7,14,10.5,13,11,12,8,9,8.5,11,11,11,17,14,15.5,5,10,7.5,9,15,12,47,37,42,10,22,16,49,45,47,14,25,19.5
10,60,45,52.5,2,2,2,1,5,3,5,5,5,3,3,3,7,6,6.5,1,1,1,4,4,4,1,5,3,1,5,3,5,3,4,6,5,5.5,1,2,1.5,4,6,5,4,4,4,1,1,1,4,4,4,1,1,1,5,2,3.5,2,5,3.5,6,2,4,1,5,3,6,3,4.5,7,6,6.5,7,3,5,1,2,1.5,2,2,2,5,6,5.5,5,6,5.5,1,5,3,4,2,3,1,2,1.5,3,5,4,5,2,3.5,6,7,6.5,1,6,3.5,20,18,19,18,11,14.5,15,7,11,15,19,17,9,10,9.5,3,12,7.5,8,7,7.5,8,8,8,17,15,16,7,8,7.5,8,11,9.5,3,16,9.5,68,55,61.5,12,22,17,40,38,39,11,27,19
11,60,45,52.5,2,5,3.5,1,5,3,3,3,3,1,2,1.5,5,5,5,1,1,1,4,4,4,5,6,5.5,3,5,4,5,5,5,5,2,3.5,5,5,5,4,6,5,4,4,4,5,2,3.5,4,3,3.5,5,2,3.5,5,3,4,5,6,5.5,5,5,5,1,1,1,5,2,3.5,5,5,5,4,5,4.5,1,1,1,4,2,3,5,6,5.5,5,5,5,1,5,3,5,2,3.5,1,1,1,5,6,5.5,2,2,2,4,5,4.5,5,5,5,16,13,14.5,9,7,8,12,10,11,13,16,14.5,5,8,6.5,3,7,5,12,9,10.5,8,8,8,17,13,15,13,10,11.5,8,12,10,12,13,12.5,50,46,48,8,15,11.5,50,40,45,20,25,22.5
12,54,60,57,6,7,6.5,1,5,3,1,3,2,1,2,1.5,6,3,4.5,1,1,1,2,4,3,5,6,5.5,2,5,3.5,7,2,4.5,6,5,5.5,2,5,3.5,2,3,2.5,5,4,4.5,5,5,5,1,5,3,3,6,4.5,5,2,3.5,6,6,6,2,6,4,1,1,1,7,2,4.5,2,2,2,3,5,4,1,3,2,6,5,5.5,4,7,5.5,2,2,2,2,6,4,3,6,4.5,1,1,1,7,6,6.5,5,2,3.5,4,3,3.5,1,5,3,10,6,8,6,7,6.5,17,6,11.5,8,8,8,5,5,5,4,10,7,15,12,13.5,11,8,9.5,15,17,16,7,18,12.5,12,15,13.5,8,13,10.5,41,27,34,9,15,12,48,55,51.5,20,28,24
13,54,60,57,7,6,6.5,1,6,3.5,1,1,1,5,1,3,1,1,1,1,1,1,4,3,3.5,7,7,7,7,7,7,4,1,2.5,6,2,4,5,6,5.5,1,3,2,4,5,4.5,5,6,5.5,1,3,2,5,3,4,1,1,1,6,6,6,5,6,5.5,1,2,1.5,6,2,4,1,1,1,2,5,3.5,1,4,2.5,2,2,2,5,6,5.5,4,2,3,6,7,6.5,6,6,6,4,3,3.5,7,5,6,1,1,1,4,3,3.5,6,7,6.5,3,4,3.5,4,4,4,6,3,4.5,9,8,8.5,8,6,7,8,13,10.5,14,11,12.5,8,10,9,14,14,14,13,15,14,11,13,12,19,17,18,22,19,20.5,16,19,17.5,49,50,49.5,30,30,30
14,48,50,49,7,7,7,1,4,2.5,6,2,4,1,1,1,5,2,3.5,1,1,1,5,5,5,3,5,4,2,2,2,4,1,2.5,6,5,5.5,7,6,6.5,5,1,3,5,5,5,7,7,7,6,4,5,7,6,6.5,7,3,5,7,6,6.5,6,7,6.5,1,1,1,3,3,3,1,1,1,5,5,5,1,1,1,6,3,4.5,6,6,6,6,2,4,1,5,3,7,7,7,1,2,1.5,3,6,4.5,5,5,5,4,3,3.5,1,3,2,7,4,5.5,12,7,9.5,16,9,12.5,15,6,10.5,3,4,3.5,3,7,5,18,11,14.5,8,8,8,19,18,18.5,19,18,18.5,5,10,7.5,6,8,7,50,26,38,6,11,8.5,64,55,59.5,11,18,14.5
15,6,8,7,7,7,7,1,1,1,5,2,3.5,1,2,1.5,3,1,2,1,1,1,2,3,2.5,3,5,4,1,2,1.5,5,1,3,6,6,6,7,7,7,1,2,1.5,5,6,5.5,7,7,7,6,6,6,7,7,7,5,5,5,7,6,6.5,7,7,7,1,1,1,1,2,1.5,1,1,1,6,5,5.5,1,1,1,7,6,6.5,6,6,6,1,2,1.5,1,1,1,7,7,7,1,1,1,4,5,4.5,5,5,5,4,2,3,2,2,2,5,3,4,11,7,9,15,11,13,6,6,6,3,3,3,3,3,3,18,16,17,11,11,11,20,19,19.5,21,20,20.5,5,5,5,5,7,6,37,27,32,6,6,6,70,66,68,10,12,11
16,54,50,52,2,5,3.5,1,2,1.5,7,6,6.5,5,5,5,7,5,6,1,1,1,5,4,4.5,1,2,1.5,1,1,1,6,6,6,6,2,4,2,3,2.5,6,3,4.5,5,6,5.5,2,6,4,2,2,2,2,6,4,7,7,7,2,3,2.5,6,2,4,1,2,1.5,7,2,4.5,7,2,4.5,6,3,4.5,1,4,2.5,6,2,4,4,5,4.5,7,2,4.5,1,2,1.5,2,5,3.5,1,2,1.5,3,5,4,6,6,6,6,5,5.5,1,1,1,20,10,15,20,17,18.5,19,19,19,19,10,14.5,8,5,6.5,3,8,5.5,13,8,10.5,8,10,9,15,11,13,5,17,11,11,11,11,4,7,5.5,78,56,67,11,13,12,41,46,43.5,15,18,16.5
17,60,35,47.5,4,6,5,1,2,1.5,4,2,3,6,2,4,7,5,6,1,1,1,4,4,4,1,5,3,1,5,3,3,1,2,3,2,2.5,2,3,2.5,4,3,3.5,4,4,4,1,2,1.5,4,4,4,2,6,4,4,2,3,2,6,4,5,2,3.5,1,3,2,7,5,6,6,5,5.5,1,6,3.5,1,1,1,2,2,2,5,7,6,6,2,4,1,5,3,3,5,4,1,1,1,7,6,6.5,3,2,2.5,6,4,5,1,5,3,17,12,14.5,17,7,12,10,5,7.5,16,9,12.5,9,8,8.5,3,9,6,11,7,9,8,8,8,10,13,11.5,6,14,10,8,13,10.5,9,12,10.5,60,33,46.5,12,17,14.5,35,42,38.5,17,25,21
18,54,40,47,2,1,1.5,1,1,1,5,6,5.5,2,2,2,7,7,7,1,1,1,4,4,4,2,3,2.5,1,2,1.5,5,3,4,3,2,2.5,1,2,1.5,6,6,6,1,4,2.5,2,1,1.5,4,3,3.5,4,1,2.5,6,5,5.5,2,5,3.5,5,2,3.5,1,1,1,3,5,4,7,7,7,4,6,5,1,2,1.5,4,2,3,4,6,5,5,6,5.5,1,2,1.5,2,2,2,1,1,1,3,3,3,5,5,5,6,6,6,2,2,2,20,21,20.5,17,14,15.5,16,13,14.5,17,18,17.5,8,9,8.5,3,5,4,10,9,9.5,5,8,6.5,14,10,12,11,6,8.5,9,8,8.5,7,6,6.5,70,66,68,11,14,12.5,40,33,36.5,16,14,15
19,66,60,63,7,5,6,5,5,5,1,3,2,5,3,4,1,2,1.5,4,2,3,4,5,4.5,7,6,6.5,6,6,6,1,2,1.5,3,3,3,7,6,6.5,2,2,2,4,4,4,7,6,6.5,4,5,4.5,7,6,6.5,1,3,2,6,5,5.5,6,6,6,5,3,4,2,3,2.5,1,2,1.5,2,3,2.5,4,2,3,3,3,3,5,6,5.5,3,3,3,6,6,6,7,7,7,3,1,2,7,3,5,1,2,1.5,2,5,3.5,7,6,6.5,3,7,5,4,8,6,3,7,5,7,10,8.5,8,5,6.5,15,11,13,17,14,15.5,8,7,7.5,12,14,13,20,18,19,12,10,11,19,17,18,17,32,24.5,23,16,19.5,57,53,55,31,27,29
20,54,50,52,6,3,4.5,5,6,5.5,5,5,5,2,2,2,5,2,3.5,6,6,6,4,4,4,5,3,4,6,6,6,4,2,3,6,2,4,6,5,5.5,4,3,3.5,4,3,3.5,6,3,4.5,4,4,4,6,5,5.5,5,1,3,2,3,2.5,6,2,4,5,3,4,2,3,2.5,2,2,2,5,2,3.5,4,3,3.5,3,2,2.5,5,5,5,4,5,4.5,5,6,5.5,6,5,5.5,5,6,5.5,6,5,5.5,4,2,3,2,6,4,7,7,7,9,9,9,14,15,14.5,13,5,9,10,14,12,13,17,15,14,12,13,11,10,10.5,8,7,7.5,18,14,16,18,15,16.5,12,13,12.5,16,19,17.5,46,43,44.5,27,29,28,55,46,50.5,28,32,30
